English;Latin;Français;Español;Portugues
Posterior surface of radius;Facies posterior radii;Face postérieure du radius;Cara posterior del radio;Superfície posterior do rádio
Posterior border of radius;Margo posterior radii;Bord postérieur du radius;Margen posterior del radio;Borda posterior do rádio
Lateral surface of radius;Facies lateralis radii;Face latérale du radius;Cara lateral del radio;Superfície lateral do raio
Pronator tuberosity;Tuberositas pronatoria;Tubérosité du pronateur;Tuberosidad del pronador;Tuberosidade do pronador
Anterior border of radius;Margo anterior radii;Bord antérieur du radius;Margen anterior del radio;Borda anterior do rádio
Suprastyloid crest;Crista suprastyloidea;Crête suprastyloïde;Cresta suprastiloidea;Crista supraestilóide
Radial styloid process;Processus styloideus radii;Processus styloïde du radius;Proceso estiloides radial;Processo estilóide radial
Dorsal radial tubercle;Tuberculum dorsale radii;Tubercule dorsal du radius;Tubérculo radial dorsal;Tubérculo radial dorsal
Grooves for extensor tendons;Sulci tendinum extensorum;Sillons des tendons extenseurs;Surcos de los tendones extensores;Sulcos para tendões extensores
Ulnar notch;Incisura ulnaris;Incisure ulnaire;Incisura ulnar;Incisura ulnar
Carpal articular surface;Facies articularis carpea;Surface articulaire carpienne;Cara articular del carpo;Superfície articular do carpo
Ulna;Ulna;Ulna;Ulna;Ulna
Olecranon;Olecranon;Olécrane;Olécranon;Olécrano
Coronoid process of ulna;Processus coronoideus ulnae;Processus coronoïde de l'ulna;Proceso coronoides de la ulna;Processo coronoide da ulna
Tuberosity of ulna;Tuberositas ulnae;Tubérosité de l'ulna;Tuberosidad de la ulna;Tuberosidade da ulna
Radial notch;Incisura radialis;Incisure radiale;Incisura radial;Incisura radial
Trochlear notch;Incisura trochlearis;Incisure trochléaire;Incisura troclear;Incisusa troclear
Sublime tubercle;Tuberculum sublime;Tubercule sublime;Tubérculo sublime;Tubérculo sublime
Body of ulna;Corpus ulnae;Corps de l'ulna;Cuerpo de la ulna;Corpo da ulna
Supinator crest;Crista supinatoria;Crête supinatrice;Cresta del supinador;Crista do supinador
Anterior surface of ulna;Facies anterior ulnae;Face antérieure de l'ulna;Cara anterior de la ulna;Superfície anterior da ulna
Interosseous border of ulna;Margo interosseus ulnae;Bord interosseux de l'ulna;Margen interóseo de la ulna;Borda interóssea da ulna
Posterior surface of ulna;Facies posterior ulnae;Face postérieure de l'ulna;Cara posterior de la ulna;Superfície posterior da ulna
Posterior border of ulna;Margo posterior ulnae;Bord postérieur de l'ulna;Margen posterior de la ulna;Borda posterior da ulna
Medial surface of ulna;Facies medialis ulnae;Surface médiale de l'ulna;Cara medial de la ulna;Superfície medial da ulna
Anterior border of ulna;Margo anterior ulnae;Bord antérieur de l'ulna;Margen anterior de la ulna;Borda anterior da ulna
Head of ulna;Caput ulnae;Tête de l'ulna;Cabeza de la ulna;Cabeça da ulna
Articular circumference of head of ulna;Circumferentia articularis capitis ulnae;Circonférence articulaire de la tête de l'ulna;Circunferencia articular de la cabeza de la ulna;Circunferência articular da cabeça da ulna
Ulnar styloid process;Processus styloideus ulnae;Processus styloïde de l'ulna;Proceso estiloides ulnar;Processo estilóide ulnar
Bones of hand;Ossa manus;Os de la main;Huesos de la mano;Ossos da mão
Carpal bones;Ossa carpi;Os du carpe;Huesos del carpo;Ossos carpais
Scaphoid bone;Os scaphoideum;Os scaphoîde;Hueso escafoides;Osso escafoide
Tubercle of scaphoid bone;Tuberculum ossis scaphoidei;Tubercule de l'os scaphoïde;Tubérculo del hueso escafoides;Tubérculo do osso escafoide
Lunate bone;Os lunatum;Os semilunaire;Hueso lunado;Osso semilunar
Triquetrum bone;Os triquetrum;Os pyramidal;Hueso triquetral;Osso piramidal
Pisiform bone;Os pisiforme;Os pisiforme;Hueso pisiforme;Osso pisiforme
Trapezium bone;Os trapezium;Os trapèze;Hueso trapecio;Osso trapézio
Tubercle of trapezium bone;Tuberculum ossis trapezii;Tubercule de l'os trapèze;Tubérculo del hueso trapecio;Tubérculo do osso trapézio
Trapezoid bone;Os trapezoideum;Os trapèzoïde;Hueso trapezoide;Osso trapézoide
Capitate bone;Os capitatum;Grand os;Hueso capitado;Osso capitato
Hamate bone;Os hamatum;Os crochu;Hueso hamatal;Osso hamato
Hook of hamate bone;Hamulus ossis hamati;Crochet de l'os crochu;Hámulo del hueso hamatal;Gancho de osso hamato
Carpal groove;Sulcus carpi;Sillon carpien;Surco del carpo;Sulco do carpo
Accessory carpal bones;Ossa accessoria carpi;Os carpien accessoires;Huesos carpianos accesorios;Ossos carpais acessórios
(Os centrale);(Os centrale);(Os central);(Os centrale);(Os centrale)
Metacarpal bones;Ossa metacarpi;Os métacarpiens;Huesos metacarpianos;Ossos metacarpais
Metacarpal bone;Os metacarpi;Os métacarpien;Hueso metacarpiano;Osso metacarpo
Metacarpal base;Basis ossis metacarpi;Base de l'os métacarpien;Base del hueso metacarpiano;Base metacarpal
Body of metacarpal bone;Corpus ossis metacarpi;Corps de l'os métacarpien;Cuerpo del hueso metacarpiano;Corpo do osso metacarpo
Head of metacarpal bone;Caput ossis metacarpi;Tête de l'os métacarpien;Cabeza del hueso metacarpiano;Cabeça do osso metacarpo
First metacarpal bone;Os primum metarcapi;Premier métacrapien;Primer hueso metacarpiano;Osso primeiro metacarpo
Second metacarpal bone;Os secundum metacarpi;Deuxième métacarpien;Segundo hueso metacarpiano;Osso segundo metacarpo
Third metacarpal bone;Os tertium metacarpi;Troisième métacarpien;Tercer hueso metacarpiano;Osso terceiro metacarpo
Fourth metacarpal bone;Os quartum metacarpi;Quatrième métacrapien;Cuarto hueso metacarpiano;Osso quarto metacarpo
Fifth metacarpal bone;Os quintum metacarpi;Cinquième métacarpien;Quinto hueso metacarpiano;Osso quinto metacarpo
Styloid process of third metacarpal bone;Processus styloideus ossis tertii metacarpi;Processus styloïde du troisième métacarpien;Proceso estiloides del tercer hueso metacarpiano;Processo estilóide do terceiro osso metacarpo
Phalanges of hand;Phalanges manus;Phalanges de la main;Falanges de la mano;Falanges da mão
Phalanx of hand;Phalanx manus;Phalange de la main;Falange de la mano;Falange da mão
Base of phalanx of hand;Basis phalangis manus;Base de la phalange de la main;Base de la falange de la mano;Base da falange da mão
Body of phalanx of hand;Corpus phalangis manus;Corps de la phalange de la main;Cuerpo de la falange de la mano;Corpo da falange da mão
Head of phalanx of hand;Caput phalangis manus;Tête de la phalange de la main;Cabeza de la falange de la mano;Cabeça de falange da mão
Trochlea of phalanx of hand;Trochlea phalangis manus;Trochlée de la phalange de la main;Trochlea de la falange de la mano;Tróclea de falange da mão
Proximal phalanx of hand;Phalanx proximalis manus;Phalange proximale de la main;Falange proximal de la mano;Falange proximal da mão
Proximal phalanx of first finger of hand;Phalanx proximalis primum digitorum manus;Phalange proximale du premier doigt de la main;Falange proximal del primer dedo de la mano;Falange proximal do primeiro dedo da mão
Proximal phalanx of second finger of hand;Phalanx proximalis secundum digitorum manus;Phalange proximale du deuxième doigt de la main;Falange proximal del segundo dedo de la mano;Falange proximal do segundo dedo da mão
Proximal phalanx of third finger of hand;Phalanx proximalis tertium digitorum manus;Phalange proximale du troisième doigt de la main;Falange proximal del tercer dedo de la mano;Falange proximal do terceiro dedo da mão
Proximal phalanx of fourth finger of hand;Phalanx proximalis quartum digitorum manus;Phalange proximale du quatrième doigt de la main;Falange proximal del cuarto dedo de la mano;Falange proximal do quarto dedo da mão
Proximal phalanx of fifth finger of hand;Phalanx proximalis quintum digitorum manus;Phalange proximale du cinquième doigt de la main;Falange proximal del quinto dedo de la mano;Falange proximal do quinto dedo da mão
Middle phalanx of hand;Phalanx media manus;Phalange moyenne de la main;Falange media de la mano;Falange média da mão
Middle phalanx of second finger of hand;Phalanx media scundum digitorum manus;Phalange moyenne du deuxième doigt de la main;Falange media del segundo dedo de la mano;Falange média do segundo dedo da mão
Middle phalanx of third finger of hand;Phalanx media tertium digitorum manus;Phalange moyenne du troisième doigt de la main;Falange media del tercer dedo de la mano;Falange média do terceiro dedo da mão
Middle phalanx of fourth finger of hand;Phalanx media quartum digitorum manus;Phalange moyenne du quatrième doigt de la main;Falange media del cuarto dedo de la mano;Falange média do quarto dedo da mão
Middle phalanx of fifth finger of hand;Phalanx media quintum digitorum manus;Phalange moyenne du cinquième doigt de la main;Falange media del quinto dedo de la mano;Falange média do quinto dedo da mão
Distal phalanx of hand;Phalanx distalis manus;Phalange distale de la main;Falange distal de la mano;Falange distal da mão
Distal phalanx of first finger of hand;Phalanx distalis primum digitorum manus;Phalange distale du premier doigt de la main;Falange distal del primer dedo de la mano;Falange distal do primeiro dedo da mão
Distal phalanx of second finger of hand;Phalanx distalis secundum digitorum manus;Phalange distale du deuxième doigt de la main;Falange distal del segundo dedo de la mano;Falange distal do segundo dedo da mão
Distal phalanx of third finger of hand;Phalanx distalis tertium digitorum manus;Phalange distale du troisième doigt de la main;Falange distal del tercer dedo de la mano;Falange distal do terceiro dedo da mão
Distal phalanx of fourth finger of hand;Phalanx distalis quartum digitorum manus;Phalange distale du quatrième doigt de la main;Falange distal del cuarto dedo de la mano;Falange distal do quarto dedo da mão
Distal phalanx of fifth finger of hand;Phalanx distalis quintum digitorum manus;Phalange distale du cinquième doigt de la main;Falange distal del quinto dedo de la mano;Falange distal do quinto dedo da mão
Tuberosity of distal phalanx of hand;Tuberositas phalangis distalis manus;Tubérosité de la phalange distale de la main;Tuberosidad de la falange distal de la mano;Tuberosidade da falange distal da mão
Sesamoid bones of hand;Ossa sesamoidea manus;Os sésamoïdes de la main;Huesos sesamoideos de la mano;Ossos sesamóides da mão
Bony pelvis;Pelvis ossea;Pelvis osseux;Pelvis ósea;Pelve óssea
Cavity of bony pelvis;Cavitas pelvis osseae;Cavité du pelvis osseux;Cavidad de la pelvis ósea;Cavidade da pelve óssea
Pubic arch;Arcus pubicus;Arcade pubienne;Arco púbico;Arco púbico
Subpubic angle;Angulus subpubicus;Angle subpubien;Ángulo subpúbico;Ângulo subpúbico
Greater pelvis;Pelvis major;Grand bassin;Pelvis mayor;Pelve maior
Lesser pelvis;Pelvis minor;Petit bassin;Pelvis menor;Pelve menor
Linea terminalis;Linea terminalis;Ligne terminale;Linea terminal;Linha terminal
Pelvic inlet;Apertura superior pelvis;Détroit supérieur;Abertura superior pélvica;Abertura superior pélvica
Pelvic outlet;Apertura inferior pelvis;Détroit inférieur;Abertura inferior pélvica;Abertura inferior pélvica
Axis of pelvis;Axis pelvis;Axe pelvien;Eje de la pelvis;Eixo da pelve
Transverse diameter;Diameter transversus;Diamètre transverse;Diámetro transversal;Diâmetro transversal
Oblique diameter;Diameter obliquus;Diamètre oblique;Diámetro oblicuo;Diâmetro oblíquo
Conjugate diameters;Diametri conjugati;Diamètre conjugué;Diámetro conjugado;Diâmetros do conjugado
Anatomical conjugate;Conjugata vera anatomica;Conjugué anatomique;Conjugado anatómico;Conjugado anatômico
Obstetrical conjugate;Conjugata vera obstetrica;Conjugué vrai;Conjugado obstétrico;Conjugado obstétrico
Diagonal conjugate;Conjugata diagonalis;Conjugué diagonal;Conjugado diagonal;Conjugado diagonal
Straight conjugate;Conjugata recta;Conjugué droit;Conjugado recto;Conjugado direto
Median conjugate;Conjugata mediana;Conjugué médian;Conjugado mediano;Conjugado mediano
External conjugate;Conjugata externa;Conjugué externe;Conjugado externo;Conjugado externo
Interspinous distance;Distantia interspinalis;Distance interépineuse;Distancia interespinosa;Distância interespinhosa
Intercristal distance;Distantia intercristalis;Distance intercrête;Distancia intercrestal;Distância intercristal
Intertrochanteric distance;Distantia intertrochanterica;Distance intertrochantérique;Distancia intertrocantérica;Distância intertrocantérica
Pelvic inclination;Inclinatio pelvis;Inclination pelvienne;Inclinación pélvica;Inclinação pélvica
Bones of lower limb;Ossa membri inferioris;Os du membre inférieur;Huesos del miembro inferior;Ossos do membro inferior
Bones of pelvic girdle;Ossa cinguli pelvici;Os de la ceinture pelvienne;Huesos del cíngulo pélvico;Ossos da cintura pélvica
Hip bone;Os coxae;Os coxal;Hueso coxal;Osso do quadril
Acetabulum;Acetabulum;Acetabulum;Acetábulo;Acetábulo
Acetabular margin;Margo acetabuli;Bord acétabulaire;Margen acetabular;Margem acetabular
Acetabular fossa;Fossa acetabuli;Fosse acétabulaire;Fosa acetabular;Fossa acetabular
Acetabular notch;Incisura acetabuli;Incisure acétabulaire;Incisura acetabular;Incisura acetabular
Lunate surface;Facies lunata;Surface semilunaire;Cara semilunar;Superfície semilunar
Ischiopubic ramus;Ramus ischiopubicus;Branche ischiopubienne;Ramo isquiopúbico;Ramo isquiopúbico
Obturator foramen;Foramen obturatum;Foramen obturé;Foramen obturador;Forame obturado
Greater sciatic notch;Incisura ischiadica major;Grande échancrure sciatique;Incisura isquiática mayor;Maior incisura ciática
Greater sciatic foramen;Foramen ischiadicum majus;Grand foramen sciatique;Foramen isquiático mayor;Forame isquiático maior
Ilium;Os ilium;Ilium;Hueso Ilion;Ílio
Body of ilium;Corpus ossis ilium;Corps de l'ilium;Cuerpo del hueso ilion;Corpo do ílio
Supra-acetabular groove;Sulcus supraacetabularis;Sillon supra-actéabulaire;Surco supra-acetabular;Sulco supraacetabular
Arcuate line of ilium;Linea arcuata ossis ilium;Ligne arquée de l'ilium;Línea arqueada del hueso ilion;Linha arqueada de ílio
Ala of ilium;Ala ossis ilium;Aile de l'ilium;Ala del hueso ilion;Asa de ílio
Iliac crest;Crista iliaca;Crête iliaque;Cresta ilíaca;Crista ilíaca
Outer lip of iliac crest;Labium externum cristae iliacae;Lèvre externe de la crête iliaque;Labio externo de la cresta ilíaca;Lábio externo da crista ilíaca
Iliac tubercle;Tuberculum iliacum;Tubercule iliaque;Tubérculo ilíaco;Tubérculo ilíaco
Intermediate zone;Linea intermedia;Ligne intermédiaire;Línea intermedia;Linha intermediária
Inner lip of iliac crest;Labium internum cristae iliacae;Lèvre interne de la crête iliaque;Labio interno de la cresta ilíaca;Lábio interno da crista ilíaca
Anterior superior iliac spine;Spina iliaca anterior superior;Epine ilique antérosupérieure;Espina iliaca anterosuperior;Espinha ilíaca anterio-superior
Anterior inferior iliac spine;Spina iliaca anterior inferior;Epine ilique antéro-inférieure;Espina iliaca antero-inferior;Espinha ilíaca anterio-inferior
Posterior superior iliac spine;Spina iliaca posterior superior;Epine iliaque postérosupérieure;Espina iliaca posterosuperior;Espinha ilíaca postero-superior
Posterior inferior iliac spine;Spina iliaca posterior inferior;Epine iliaque postéro-inférieure;Espina iliaca postero-inferior;Espinha ilíaca postero-inferior
Iliac fossa;Fossa iliaca;Fosse iliaque;Fosa ilíaca;Fossa ilíaca
Gluteal surface of ilium;Facies glutea ossis ilium;Surface glutéale de l'ilium;Cara glútea del hueso ilion;Superfície glútea do ílio
Anterior gluteal line;Linea glutea anterior;Ligne glutéale antérieure;Línea glútea anterior;Linha glútea anterior
Posterior gluteal line;Linea glutea posterior;Ligne glutéale postérieure;Línea glútea posterior;Linha glútea posterior
Inferior gluteal line;Linea glutea inferior;Ligne glutéale inférieure;Línea glútea inferior;Linha glútea inferior
Sacropelvic surface of ilium;Facies sacropelvica ossis ilium;Face sacropelvienne de l'ilum;Cara sacropélvica del hueso ilion;Superfície sacropélvica do ílio
Auricular surface of ilium;Facies auricularis ossis ilium;Surface auriculaire de l'ilium;Cara auricular del ilion;Superfície auricular do ílio
Iliac tuberosity;Tuberositas iliaca;Tubérosité iliaque;Tuberosidad ilíaca;Tuberosidade ilíaca
Ischium;Os ischii;Ischium;Hueso Isquion;Ísquio
Body of ischium;Corpus ossis ischii;Corps de l'ischium;Cuerpo del hueso isquion;Corpo de ísquio
Ramus of ischium;Ramus ossis ischii;Branche de l'ischium;Ramo del hueso isquion;Ramo de ísquio
Ischial tuberosity;Tuber ischiadicum;Tubérosité ischiatique;Tuberosidad isquiática;Tuberosidade isquiática
Ischial spine;Spina ischiadica;Epine ischiatique;Espina isquiática;Espinha isquiática
Lesser sciatic notch;Incisura ischiadica minor;Petite échancrure sciatique;Incisura isquiática menor;Incisura ciática menor
Lesser sciatic foramen;Foramen ischiadicum minus;Petit foramen sciatique;Foramen isquiático menor;Forame isquiático menor
Pubis;Os pubis;Pubis;Hueso Pubis;Púbis
Body of pubis;Corpus ossis pubis;Corps du pubis;Cuerpo del hueso pubis;Corpo do púbis
Pubic tubercle;Tuberculum pubicum;Tubercule pubien;Tubérculo púbico;Tubérculo púbico
Symphysial surface of pubis;Facies symphysialis ossis pubis;Surface symphysaire du pubis;Cara sinfisaria del hueso pubis;Superfície sinfisária do púbis
Pubic crest;Crista pubica;Crête pubienne;Cresta púbica;Crista púbica
Superior pubic ramus;Ramus superior ossis pubis;Branche supérieure du pubis;Ramo superior del hueso pubis;Ramo púbico superior
Iliopubic eminence;Eminentia iliopubica;Eminence iliopubienne;Eminencia iliopúbica;Eminência iliopúbica
Pecten pubis;Pecten ossis pubis;Pecten du pubis;Pecten del hueso pubis;Pecten pubis
Obturator crest;Crista obturatoria;Crête obturatrice;Cresta obturadora;Crista obturadora
Obturator groove;Sulcus obturatorius;Sillon obturateur;Surco obturador;Sulco do obturador
Anterior obturator tubercle;Tuberculum obturatorium anterius;Tubercule obturateur antérieur;Tubérculo obturador anterior;Tubérculo obturador anterior
(Posterior obturator tubercle);(Tuberculum obturatorium posterius);(Tubercule obturateur postérieur);(Tubérculo obturador posterior);(Tubérculo do obturador posterior)
Inferior pubic ramus;Ramus inferior ossis pubis;Branche inférieure du pubis;Ramo inferior del hueso pubis;Ramo púbico inferior
Bones of free part of lower limb;Ossa partis liberae membri inferioris;Os de la partie libre du membre inférieur;Huesos de la parte libre del miembro inferior;Ossos da parte livre do membro inferior
Femur;Os femoris;Fémur;Hueso Fémur;Fêmur
Head of femur;Caput ossis femoris;Tête du fémur;Cabeza del hueso fémur;Cabeça do fémur
Fovea for ligament of head of femur;Fovea capitis ossis femoris;Fossette de la tête fémorale;Fóvea de la cabeza del hueso fémur;Fóvea para o ligamento da cabeça do fêmur
Neck of femur;Collum ossis femoris;Col du fémur;Cuello del hueso fémur;Colo do fémur
Greater trochanter;Trochanter major;Grand trochanter;Trocánter mayor;Trocânter maior
Trochanteric fossa;Fossa trochanterica;Fosse trochantérique;Fosa trocantérica;Fossa trocantérica
Lesser trochanter;Trochanter minor;Petit trochanter;Trocánter menor;Trocanter menor
(Third trochanter);(Trochanter tertius);(Troisième trochanter);(Tercer trocánter);(Terceiro trocanter)
Intertrochanteric line;Linea intertrochanterica;Ligne intertrochantérique;Línea intertrocantérica;Linha intertrocantérica
Intertrochanteric crest;Crista intertrochanterica;Crête intertrochantérique;Cresta intertrocantérica;Crista intertrocantérica
Quadrate tubercle;Tuberculum quadratum;Tubercule carré;Tubérculo cuadrado;Tubérculo quadrado
Body of femur;Corpus ossis femoris;Corps du fémur;Cuerpo del fémur;Corpo do fémur
Linea aspera;Linea aspera;Ligne âpre;Línea áspera;Linha áspera
Lateral lip of linea aspera;Labium laterale lineae asperae;Lèvre latérale de la ligne âpre;Labio lateral de la línea áspera;Lábio lateral da linha áspera
Medial lip of linea aspera;Labium mediale lineae asperae;Lèvre médiale de la ligne âpre;Labio medial de la línea áspera;Lábio medial da linha áspera
Pectineal line of femur;Linea pectinea;Ligne pectinée;Línea pectínea;Linha pectineal
Gluteal tuberosity;Tuberositas glutea;Tubérosité glutéale;Tuberosidad glútea;Tuberosidade glútea
Popliteal surface of femur;Facies poplitea ossis femoris;Surface poplitée;Cara poplítea del hueso fémur;Superfície poplítea do fêmur
Medial supracondylar line;Linea supracondylaris medialis;Ligne supracondylaire médiale;Línea supracondilar medial;Linha supracondilar medial
Lateral supracondylar line;Linea supracondylaris lateralis;Ligne supracondylaire latérale;Línea supracondilar lateral;Linha supracondilar lateral
Medial condyle of femur;Condylus medialis ossis femoris;Condyle médial du fémur;Cóndilo medial del hueso fémur;Côndilo medial do fémur
Medial epicondyle of femur;Epicondylus medialis ossis femoris;Epicondyle médial du fémur;Epicóndilo medial del hueso fémur;Epicôndilo medial do fêmur
Adductor tubercle;Tuberculum adductorium;Tubercule de l'adducteur;Tubérculo aductor;Tubérculo adutor
Lateral condyle of femur;Condylus lateralis femoris;Condyle latéral du fémur;Cóndilo lateral del fémur;Côndilo lateral do fêmur
Lateral epicondyle of femur;Epicondylus lateralis ossis femoris;Epicondyle latéral du fémur;Epicóndilo lateral del hueso fémur;Epicôndilo lateral do fêmur
Groove for popliteus muscle;Sulcus popliteus;Sillon polité;Surco poplíteo;Sulco para o músculo poplíteo
Patellar surface of femur;Facies patellaris ossis femoris;Surface patellaire;Cara patelar del hueso fémur;Superfície patelar do fêmur
Intercondylar fossa;Fossa intercondylaris;Fosse intercondylaire;Fosa intercondilar;Fossa intercondilar
Intercondylar line;Linea intercondylaris;Ligne intercondylaire;Línea intercondilar;Linha intercondilar
Sesamoid bones of knee;Ossa seasmoidea genus;Os sésamoïdes du genou;Huesos sesamoideos de la rodilla;Ossos sesamóides do joelho
Patella;Patella;Patella;Patela;Patela
Base of patella;Basis patellae;Base de la patella;Base de la patela;Base da patela
Apex of patella;Apex patellae;Apex de la patella;Ápice de la patela;Ápice da patela
Articular surface of patella;Facies articularis patellae;Surface articulaire de la patella;Cara articular de la patela;Superfície articular da patela
Anterior surface of patella;Facies anterior patellae;Face antérieure de la patella;Cara anterior de la patela;Superfície anterior da patela
(Fabella);(Fabella);(Fabella);(Fabella);(Fabela)
(Cyamella);(Cyamellus);(Cyamella);(Cyamella);(Ciamela)
Tibia;Tibia;Tibia;Tibia;Tíbia
Tibial plateau;Planum tibiae;Plateau tibial;Plano tibial;Planalto tibial
Superior articular surfaces of tibia;Facies articulares superiores tibiae;Surfaces articulaire supérieures du tibia;Caras articulares superiores de la tibia;Superfícies articulares superiores da tíbia
Articular surface of medial condyle;Facies articularis condyli medialis;Surface articulaire du condyle médial;Cara articular del cóndilo medial;Superfície articular do côndilo medial
Superior articular surface of lateral condyle;Facies articularis superior condyli lateralis;Surface articulaire supérieure du condyle latéral;Cara articular superior del cóndilo lateral;Superfície articular superior do côndilo lateral
Intercondylar area;Area intercondylaris;Aire intercondylaire;Área intercondilar;Área intercondilar
Anterior intercondylar area;Area intercondylaris anterior;Aire intecondylaire antérieure;Área intercondilar anterior;Área intercondilar anterior
Posterior intercondylar area;Area intercondylaris posterior;Aire intecondylaire postérieure;Área intercondilar posterior;Área intercondilar posterior
Intercondylar eminence;Eminentia intercondylaris;Eminence intercondylaire;Eminencia intercondilar;Eminência intercondilar
Medial intercondylar tubercle;Tuberculum intercondylare mediale;Tubercule intercondylaire médial;Tubérculo intercondilar medial;Tubérculo intercondilar medial
Lateral intercondylar tubercle;Tuberculum intercondylare laterale;Tubercule intercondylaire latéral;Tubérculo intercondilar lateral;Tubérculo intercondilar lateral
Medial condyle of tibia;Condylus medialis tibiae;Condyle médial du tibia;Cóndilo medial de la tibia;Côndilo medial da tíbia
Lateral condyle of tibia;Condylus lateralis tibiae;Condyle latéral du tibia;Cóndilo lateral de la tibia;Côndilo lateral da tíbia
Fibular articular facet;Facies articularis fibularis;Surface articulaire fibulaire;Cara articular fibular;Faceta articular fibular
Tubercle of iliotibial tract;Tuberculum tractus iliotibialis;Tubercule du tractus iliotibial;Tubérculo del tracto iliotibial;Tubérculo do trato iliotibial
Body of tibia;Corpus tibiae;Corps du tibia;Cuerpo de la tibia;Corpo da tíbia
Tibial tuberosity;Tuberositas tibiae;Tubérosité tibiale;Tuberosidad de la tibia;Tuberosidade tibial
Medial surface of tibia;Facies medialis tibiae;Face médiale du tibia;Cara medial de la tibia;Superfície medial da tíbia
Medial border of tibia;Margo medialis tibiae;Bord médial du tibia;Margen medial de la tibia;Borda medial da tíbia
Posterior surface of tibia;Facies posterior tibiae;Face postérieure du tibia;Cara posterior de la tibia;Superfície posterior da tíbia
Soleal line;Linea musculi solei;Ligne soléaire;Línea del músculo sóleo;Linha solear
Interosseous border of tibia;Margo interosseus tibiae;Bord interosseux du tibia;Margen interóseo de la tibia;Borda interóssea da tíbia
Lateral surface of tibia;Facies lateralis tibiae;Face latérale du tibia;Cara lateral de la tibia;Superfície lateral da tíbia
Anterior border of tibia;Margo anterior tibiae;Bord antérieur du tibia;Margen anterior de la tibia;Borda anterior da tíbia
Medial malleolus;Malleolus medialis;Malléole médiale;Maléolo medial;Maléolo medial
Malleolar groove of tibia;Sulcus malleolaris tibiae;Sillon malléolaire du tibia;Surco maleolar de la tibia;Sulco maleolar da tíbia
Articular facet of medial malleolus;Facies articularis malleoli;Surface articulaire malléolaire médiale;Faceta articular del maléolo medial;Faceta articular do maléolo medial
Posterior malleolus;Malleolus posterior;Malléole postérieure;Maléolo posterior;Maléolo posterior
Fibular notch;Incisura fibularis;Incisure fibulaire;Incisura fibular;Incisura fibular
Inferior articular surface of tibia;Facies articularis inferior tibiae;Surface articulaire inférieure du tibia;Cara articular inferior de la tibia;Superfície articular inferior da tíbia
Fibula;Fibula;Fibula;Fíbula;Fíbula
Head of fibula;Caput fibulae;Tête de la fibula;Cabeza de la fibula;Cabeça da fíbula
Articular facet of head of fibula;Facies articularis capitis fibulae;Surface articulaire de la tête fibullaire;Faceta articular de la cabeza de la fibula;Faceta articular da cabeça da fíbula
Apex of head of fibula;Apex capitis fibulae;Apex de la tête fibullaire;Ápice de la cabeza de la fíbula;Ápice da cabeça da fíbula
Neck of fibula;Collum fibulae;Col de la fibula;Cuello de la fibula;Colo da fíbula
Body of fibula;Corpus fibulae;Corps de la fibula;Cuerpo de la fibula;Corpo da fíbula
Lateral surface of fibula;Facies lateralis fibulae;Face latérale de la fibula;Cara lateral de la fíbula;Superfície lateral da fíbula
Anterior border of fibula;Margo anterior fibulae;Bord antérieur de la fibula;Margen anterior de la fíbula;Borda anterior da fíbula
Medial surface of fibula;Facies medialis fibulae;Face médiale de la fibula;Cara medial de la fibula;Superfície medial da fíbula
Anteromedial surface of fibula;Facies anteromedialis fibulae;Surface antéromédiale de la fibula;Cara anteromedial de la fibula;Superfície ântero-medial da fíbula
Interosseous crest of fibula;Crista interossea fibulae;Crête interosseuse de la fibula;Cresta interósea de la fibula;Crista interóssea da fíbula
Posteromedial surface of fibula;Facies posteromedialis fibulae;Face postéromédiale de la fibula;Cara posteromedial de la fibula;Superfície posteromedial da fíbula
Medial border of fibula;Margo medialis fibulae;Bord médial de la fibula;Margen medial de la fibula;Borda medial da fíbula
Posterior surface of fibula;Facies posterior fibulae;Face postérieure de la fibula;Cara posterior de la fibula;Superfície posterior da fíbula
Posterior border of fibula;Margo posterior fibulae;Bord postérieur de la fibula;Margen posterior de la fibula;Borda posterior da fíbula
Lateral malleolus;Malleolus lateralis;Malléole latérale;Maléolo lateral;Maléolo lateral
Articular facet of lateral malleolus;Facies articularis malleoli lateralis;Surface articulaire malléolaire latérale;Cara articular del maléolo lateral;Faceta articular do maléolo lateral
Malleolar fossa;Fossa malleoli lateralis;Fosse de la malléole latérale;Fosa del maléolo lateral;Fossa maleolar
Malleolar groove of fibula;Sulcus malleolaris fibulae;Sillon malléolaire de la fibula;Surco maleolar de la fibula;Sulco maleolar da fíbula
Bones of foot;Ossa pedis;Os du pied;Huesos del pie;Ossos do pé
Tarsal bones;Ossa tarsi;Os du tarse;Huesos del tarso;Ossos do tarso
Talus;Os tali;Talus;Hueso Talo;Talus
Head of talus;Caput ossis tali;Tête du talus;Cabeza del talo;Cabeça do talus
Navicular articular surface;Facies articularis navicularis;Surface articulaire naviculaire;Cara articular navicular;Superfície articular navicular
Facet for plantar calcaneonavicular ligament;Facies articularis ligamenti calcaneonavicularis plantaris;Surface articulaire du ligament calcanéonaviculaire plant.;Cara del ligamento calcaneonavicular plantar;Faceta para ligamento calcaneonavicular plantar
